"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mh_cg_cbq_001,mh_cg_cbq,,radio,"Seems always in a big hurry to get from one place to another. ","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_002,mh_cg_cbq,,radio,"Gets quite frustrated when prevented from doing something they want to do.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_003,mh_cg_cbq,,radio,"When drawing or coloring in a book, shows strong concentration.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_004,mh_cg_cbq,,radio,"Likes going down high slides or other adventurous activities.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_005,mh_cg_cbq,,radio,"Is quite upset by a little cut or bruise.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_006,mh_cg_cbq,,radio,"Prepares for trips and outings by planning things they will need.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_007,mh_cg_cbq,,radio,"Often rushes into new situations.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_008,mh_cg_cbq,,radio,"Tends to become sad if plans don't work out.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_009,mh_cg_cbq,,radio,"Likes being sung to.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_010,mh_cg_cbq,,radio,"Seems to be at ease with almost any person.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_011,mh_cg_cbq,,radio,"Is afraid of burglars or the ""boogie man"".","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_012,mh_cg_cbq,,radio,"Notices it when parents/caregivers are wearing new clothing.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_013,mh_cg_cbq,,radio,"Prefers quiet activities to active games.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_014,mh_cg_cbq,,radio,"When angry about something, they tend to stay upset for ten minutes or longer.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_015,mh_cg_cbq,,radio,"When building or putting something together, becomes very involved in what they are doing, and works for long periods.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_016,mh_cg_cbq,,radio,"Likes to go high and fast when pushed on a swing.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_017,mh_cg_cbq,,radio,"Seems to feel depressed when unable to accomplish some task.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_018,mh_cg_cbq,,radio,"Is good at following instructions.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_019,mh_cg_cbq,,radio,"Takes a long time in approaching new situations.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_020,mh_cg_cbq,,radio,"Hardly ever complains when ill with a cold.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_021,mh_cg_cbq,,radio,"Likes the sound of words, as in nursery rhymes.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_022,mh_cg_cbq,,radio,"Is sometimes shy even around people they have known a long time.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_023,mh_cg_cbq,,radio,"Is very difficult to soothe when they become upset.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_024,mh_cg_cbq,,radio,"Is quickly aware of some new item in the living room.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_025,mh_cg_cbq,,radio,"Is full of energy, even in the evening. ","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_026,mh_cg_cbq,,radio,"Is not afraid of the dark.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_027,mh_cg_cbq,,radio,"Sometimes becomes absorbed in a picture book and looks at it for a long time.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_028,mh_cg_cbq,,radio,"Likes rough and rowdy games.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_029,mh_cg_cbq,,radio,"Is not very upset at minor cuts or bruises.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_030,mh_cg_cbq,,radio,"Approaches places they have been told are dangerous slowly and cautiously.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_031,mh_cg_cbq,,radio,"Is slow and unhurried in deciding what to do next.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_032,mh_cg_cbq,,radio,"Gets angry when they can't find something they want to play with.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_033,mh_cg_cbq,,radio,"Enjoys gentle rhythmic activities, such as rocking or swaying.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_034,mh_cg_cbq,,radio,"Sometimes turns away shyly from new acquaintances.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_035,mh_cg_cbq,,radio,"Becomes upset when loved relatives or friends are getting ready to leave following a visit.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_036,mh_cg_cbq,,radio,"Comments when a parent/caregiver has changed their appearance.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_037,mh_cg_cbq,,radio,"Sometimes prefers to watch rather than join other children playing.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_038,mh_cg_cbq,,radio,"Is comfortable in situations where they will be meeting others","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_039,mh_cg_cbq,,radio,"Gets embarrassed when strangers pay a lot of attention to them.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child | 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_040,mh_cg_cbq,,radio,"Acts very friendly and outgoing with new children.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_041,mh_cg_cbq,,radio,"Joins others quickly and comfortably, even when they are strangers.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_042,mh_cg_cbq,,radio,"Sometimes seems nervous when talking to adults they have just met.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_043,mh_cg_cbq,,radio,"Acts shy around new people.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_044,mh_cg_cbq,,radio,"Is comfortable asking other children to play.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_045,mh_cg_cbq,,radio,"Talks easily to new people.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_cg_cbq_046,mh_cg_cbq,,radio,"Seems completely at ease with almost any group.","1, Extremely untrue of your child | 2, Quite untrue of your child | 3, Slightly untrue of your child| 4, Neither true nor false of your child | 5, Slightly true of your child | 6, Quite true of your child | 7, Extremly true of your child | 555, Not applicable",,,,,,,y,,,,,
mh_ch_mchat_lang,mh_ch_mchat,,radio,Language,"en, English | es, Spanish",,,,,,,y,,,,," @HIDDEN @LANGUAGE-CURRENT-SURVEY"
mh_ch_mchat_dtt,mh_ch_mchat,,text,"Start time",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW"
mh_ch_mchat_timestamp_start,mh_ch_mchat,,text,"Start time (server)",,,datetime_seconds_mdy,,,,,y,,,,," @HIDDEN @NOW-SERVER"
mh_ch_mchat_location,mh_ch_mchat,,dropdown,"Remote or on-site?","1, Remote | 2, On-site",,,,,,,y,,,,," @IF([event-name][visit_start_complete] != 2, @DEFAULT='1', @DEFAULT='2') @HIDDEN"
mh_ch_mchat_instr01,mh_ch_mchat,,descriptive,"Please answer these questions about your child. Keep in mind how your child usually behaves. If you have seen your child do the behavior a few times, but he or she does not usually do it, then please answer no. Please select yes or no for every question. Thank you very much.",,,,,,,,,,,,,
mh_ch_mchat_point_001,mh_ch_mchat,,radio,"If you point at something across the room, does your child look at it? (FOR EXAMPLE, if you point at a toy or an animal, does your child look at the toy or animal?)","1, Yes | 0, No",,,,,,,y,,,,,
mh_ch_mchat_point_instr01,mh_ch_mchat,,descriptive,"If you point at something, does your child...",,,,,,,"[mh_ch_mchat_point_001] = '0'",,,,,,
mh_ch_mchat_point_002,mh_ch_mchat,,radio,"Ignore you","1, Yes | 0, No",,,,,,"[mh_ch_mchat_point_001] = '0'",y,,,mh_ch_mchat_point_m01,,
mh_ch_mchat_point_003,mh_ch_mchat,,radio,"Look around the room randomly","1, Yes | 0, No",,,,,,"[mh_ch_mchat_point_001] = '0'",y,,,mh_ch_mchat_point_m01,,
mh_ch_mchat_point_004,mh_ch_mchat,,radio,"Look at the object","1, Yes | 0, No",,,,,,"[mh_ch_mchat_point_001] = '0'",y,,,mh_ch_mchat_point_m01,,
mh_ch_mchat_point_005,mh_ch_mchat,,radio,"Point to the object","1, Yes | 0, No",,,,,,"[mh_ch_mchat_point_001] = '0'",y,,,mh_ch_mchat_point_m01,,
mh_ch_mchat_point_006,mh_ch_mchat,,radio,"Look and comment on the object","1, Yes | 0, No",,,,,,"[mh_ch_mchat_point_001] = '0'",y,,,mh_ch_mchat_point_m01,,
mh_ch_mchat_point_007,mh_ch_mchat,,radio,"Look at your finger","1, Yes | 0, No",,,,,,"[mh_ch_mchat_point_001] = '0'",y,,,mh_ch_mchat_point_m01,,
mh_ch_mchat_point_008,mh_ch_mchat,,radio,"Look if you point and say ""look!""","1, Yes | 0, No",,,,,,"[mh_ch_mchat_point_001] = '0'",y,,,mh_ch_mchat_point_m01,,
mh_ch_mchat_point_009_instr01,mh_ch_mchat,,descriptive,"When you point at something, which one does your child do most often? ",,,,,,,"(([mh_ch_mchat_point_004] = '1' OR [mh_ch_mchat_point_005] = '1' OR [mh_ch_mchat_point_006] = '1' OR [mh_ch_mchat_point_008] = '1') AND ([mh_ch_mchat_point_002] = '1' OR [mh_ch_mchat_point_003] = '1' OR [mh_ch_mchat_point_007] = '1'))",,,,,,
mh_ch_mchat_point_009_i_02,mh_ch_mchat,,radio,"Ignore you","1, Most often",,,,,,"[mh_ch_mchat_point_002] = '1' AND (([mh_ch_mchat_point_004] = '1' OR [mh_ch_mchat_point_005] = '1' OR [mh_ch_mchat_point_006] = '1' OR [mh_ch_mchat_point_008] = '1') AND ([mh_ch_mchat_point_002] = '1' OR [mh_ch_mchat_point_003] = '1' OR [mh_ch_mchat_point_007] = '1'))",,,,mh_ch_mchat_point_m02,y,
mh_ch_mchat_point_009_i_03,mh_ch_mchat,,radio,"Look around the room randomly","1, Most often",,,,,,"[mh_ch_mchat_point_003] = '1' AND (([mh_ch_mchat_point_004] = '1' OR [mh_ch_mchat_point_005] = '1' OR [mh_ch_mchat_point_006] = '1' OR [mh_ch_mchat_point_008] = '1') AND ([mh_ch_mchat_point_002] = '1' OR [mh_ch_mchat_point_003] = '1' OR [mh_ch_mchat_point_007] = '1'))",,,,mh_ch_mchat_point_m02,y,
mh_ch_mchat_point_009_i_04,mh_ch_mchat,,radio,"Look at the object","1, Most often",,,,,,"[mh_ch_mchat_point_004] = '1' AND (([mh_ch_mchat_point_004] = '1' OR [mh_ch_mchat_point_005] = '1' OR [mh_ch_mchat_point_006] = '1' OR [mh_ch_mchat_point_008] = '1') AND ([mh_ch_mchat_point_002] = '1' OR [mh_ch_mchat_point_003] = '1' OR [mh_ch_mchat_point_007] = '1'))",,,,mh_ch_mchat_point_m02,y,
mh_ch_mchat_point_009_i_05,mh_ch_mchat,,radio,"Point to the object","1, Most often",,,,,,"[mh_ch_mchat_point_005] = '1' AND (([mh_ch_mchat_point_004] = '1' OR [mh_ch_mchat_point_005] = '1' OR [mh_ch_mchat_point_006] = '1' OR [mh_ch_mchat_point_008] = '1') AND ([mh_ch_mchat_point_002] = '1' OR [mh_ch_mchat_point_003] = '1' OR [mh_ch_mchat_point_007] = '1'))",,,,mh_ch_mchat_point_m02,y,
mh_ch_mchat_point_009_i_06,mh_ch_mchat,,radio,"Look and comment on the object","1, Most often",,,,,,"[mh_ch_mchat_point_006] = '1' AND (([mh_ch_mchat_point_004] = '1' OR [mh_ch_mchat_point_005] = '1' OR [mh_ch_mchat_point_006] = '1' OR [mh_ch_mchat_point_008] = '1') AND ([mh_ch_mchat_point_002] = '1' OR [mh_ch_mchat_point_003] = '1' OR [mh_ch_mchat_point_007] = '1'))",,,,mh_ch_mchat_point_m02,y,
mh_ch_mchat_point_009_i_07,mh_ch_mchat,,radio,"Look at your finger","1, Most often",,,,,,"[mh_ch_mchat_point_007] = '1' AND (([mh_ch_mchat_point_004] = '1' OR [mh_ch_mchat_point_005] = '1' OR [mh_ch_mchat_point_006] = '1' OR [mh_ch_mchat_point_008] = '1') AND ([mh_ch_mchat_point_002] = '1' OR [mh_ch_mchat_point_003] = '1' OR [mh_ch_mchat_point_007] = '1'))",,,,mh_ch_mchat_point_m02,y,
mh_ch_mchat_point_009_i_08,mh_ch_mchat,,radio,"Look if you point and say ""look!""","1, Most often",,,,,,"[mh_ch_mchat_point_008] = '1' AND (([mh_ch_mchat_point_004] = '1' OR [mh_ch_mchat_point_005] = '1' OR [mh_ch_mchat_point_006] = '1' OR [mh_ch_mchat_point_008] = '1') AND ([mh_ch_mchat_point_002] = '1' OR [mh_ch_mchat_point_003] = '1' OR [mh_ch_mchat_point_007] = '1'))",,,,mh_ch_mchat_point_m02,y,
mh_ch_mchat_hear_001,mh_ch_mchat," ",radio,"Have you ever wondered if your child might be deaf? ","1, Yes | 0, No",,,,,,,y,,,,,
mh_ch_mchat_hear_instr01,mh_ch_mchat,,descriptive,"Do they...",,,,,,,"[mh_ch_mchat_hear_001] = '1'",,,,,,
mh_ch_mchat_hear_002,mh_ch_mchat,,radio,"Often ignore sounds?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hear_001] = '1'",y,,,mh_ch_mchat_hear_m01,,
mh_ch_mchat_hear_003,mh_ch_mchat,,radio,"Often ignore people?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hear_001] = '1'",y,,,mh_ch_mchat_hear_m01,,
mh_ch_mchat_hear_004,mh_ch_mchat,,radio,"Has your child's hearing been tested?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hear_001] = '1'",y,,,mh_ch_mchat_hear_m01,,
mh_ch_mchat_hear_005,mh_ch_mchat,,radio,"What were the results of the hearing test?","1, Hearing in normal range | 2, Hearing below normal | 3, Results inconclusive or not definitive",,,,,,"[mh_ch_mchat_hear_004] = '1'",y,,,,,
mh_ch_mchat_pretend_001,mh_ch_mchat," ",radio,"Does your child play pretend or make-believe?","1, Yes | 0, No",,,,,,,y,,,,,
mh_ch_mchat_pretend_instr01,mh_ch_mchat,,descriptive,"Do they usually..",,,,,,,"[mh_ch_mchat_pretend_001] = '0'",,,,,,
mh_ch_mchat_pretend_002,mh_ch_mchat,,radio,"Pretend to drink from a toy cup?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_pretend_003,mh_ch_mchat,,radio,"Pretend to eat from a toy spoon or fork?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_pretend_004,mh_ch_mchat,,radio,"Pretend to talk on the telephone?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_pretend_005,mh_ch_mchat,,radio,"Pretend to feed a doll or stuffed animal with real or imaginary food?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_pretend_006,mh_ch_mchat,,radio,"Push a car as if it is going along a pretend road?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_pretend_007,mh_ch_mchat,,radio,"Pretend to be a robot, an airplane, a ballerina, or any other favorite character?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_pretend_008,mh_ch_mchat,,radio,"Put a toy pot on a pretend stove?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_pretend_009,mh_ch_mchat,,radio,"Stir imaginary food?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_pretend_010,mh_ch_mchat,,radio,"Put an action figure or doll into a car or truck as if it is the driver or passenger?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_pretend_011,mh_ch_mchat,,radio,"Pretend to vacuum the rug, sweep the floor, or mow the lawn?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_pretend_001] = '0'",y,,,mh_ch_mchat_pretend_m01,,
mh_ch_mchat_climb_001,mh_ch_mchat," ",radio,"Does your child like climbing on things?","1, Yes | 0, No",,,,,,,y,,,,,
mh_ch_mchat_climb_instr01,mh_ch_mchat,,descriptive,"Do they enjoy climbing on...",,,,,,,"[mh_ch_mchat_climb_001] = '0'",,,,,,
mh_ch_mchat_climb_002,mh_ch_mchat,,radio,Stairs?,"1, Yes | 0, No",,,,,,"[mh_ch_mchat_climb_001] = '0'",y,,,mh_ch_mchat_climb_m01,,
mh_ch_mchat_climb_003,mh_ch_mchat,,radio,Chairs?,"1, Yes | 0, No",,,,,,"[mh_ch_mchat_climb_001] = '0'",y,,,mh_ch_mchat_climb_m01,,
mh_ch_mchat_climb_004,mh_ch_mchat,,radio,Furniture?,"1, Yes | 0, No",,,,,,"[mh_ch_mchat_climb_001] = '0'",y,,,mh_ch_mchat_climb_m01,,
mh_ch_mchat_climb_005,mh_ch_mchat,,radio,"Playground equipment?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_climb_001] = '0'",y,,,mh_ch_mchat_climb_m01,,
mh_ch_mchat_hands_001,mh_ch_mchat," ",radio,"Does you child make unusual finger movements near their eye?","1, Yes | 0, No",,,,,,,y,,,,,
mh_ch_mchat_hands_instr01,mh_ch_mchat,,descriptive,"Do they...",,,,,,,"[mh_ch_mchat_hands_001] = '1'",,,,,,
mh_ch_mchat_hands_002,mh_ch_mchat,,radio,"Wiggle their fingers near their eyes?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hands_001] = '1'",y,,,mh_ch_mchat_hands_m01,,
mh_ch_mchat_hands_003,mh_ch_mchat,,radio,"Hold their hands up close to their eyes?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hands_001] = '1'",y,,,mh_ch_mchat_hands_m01,,
mh_ch_mchat_hands_004,mh_ch_mchat,,radio,"Hold their hands off to the side of their eyes?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hands_001] = '1'",y,,,mh_ch_mchat_hands_m01,,
mh_ch_mchat_hands_005,mh_ch_mchat,,radio,"Look at their hands?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hands_001] = '1'",y,,,mh_ch_mchat_hands_m01,,
mh_ch_mchat_hands_006,mh_ch_mchat,,radio,"Move their fingers when playing peek-a-boo?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hands_001] = '1'",y,,,mh_ch_mchat_hands_m01,,
mh_ch_mchat_hands_007,mh_ch_mchat,,radio,"Flap their hands near their face?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hands_001] = '1'",y,,,mh_ch_mchat_hands_m01,,
mh_ch_mchat_hands_008,mh_ch_mchat,,radio,"Does this happen more than twice a week?","1, Yes | 0, No",,,,,,"[mh_ch_mchat_hands_002] = '1' OR [mh_ch_mchat_hands_003] = '1' OR [mh_ch_mchat_hands_004] = '1' OR [mh_ch_mchat_hands_007] = '1' ",y,,,,,
mh_ch_mchat_reach_001,mh_ch_mchat," ",radio,"Does your child point with one finger to ask for something or to get help?","1, Yes | 0, No",,,,,,,y,,,,,
